"","X","GSM5374839_S1.CEL","GSM5374840_S2.CEL","GSM5374841_S3.CEL","GSM5374842_S4.CEL","GSM5374843_S5.CEL","GSM5374844_S6.CEL","GSM5374845_S7.CEL","GSM5374846_S8.CEL","GSM5374847_S9.CEL","GSM5374848_S10.CEL","GSM5374849_S11.CEL","GSM5374850_S12.CEL","GSM5374851_S13.CEL","GSM5374852_S14.CEL","GSM5374853_S15.CEL","GSM5374854_S16.CEL","GSM5374855_S17.CEL","GSM5374856_S18.CEL","GSM5374857_S19.CEL","GSM5374858_S20.CEL","GSM5374859_S21.CEL","GSM5374860_S22.CEL","GSM5374861_S23.CEL","GSM5374862_S24.CEL","GSM5374863_S25.CEL","GSM5374864_S26.CEL","GSM5374865_S27.CEL","GSM5374866_S28.CEL","GSM5374867_S29.CEL","GSM5374868_S30.CEL","GSM5374869_S31.CEL","GSM5374870_S32.CEL","GSM5374871_S33.CEL","GSM5374872_S34.CEL","GSM5374873_S35.CEL","GSM5374874_S36.CEL","GSM5374875_S37.CEL","GSM5374876_S38.CEL","GSM5374877_S39.CEL","GSM5374878_S40.CEL","GSM5374879_S41.CEL","GSM5374880_S42.CEL","GSM5374881_S43.CEL","GSM5374882_S44.CEL","GSM5374883_S45.CEL","GSM5374884_S46.CEL","GSM5374885_S47.CEL","SYMBOL","GENENAME","Avg_covid","Avg_Normal","Avg_Asymcovid"
"5771","TC0100006623.hg.1",3.81569703114226,3.16377345745003,3.32455308448926,3.49924314368473,3.81569703114226,3.25422763928182,3.1671726625235,3.89957502638389,3.10155021003138,3.28517685225263,3.64299969515012,3.42137490355286,2.98104797942985,3.31777354052571,3.65189632359928,3.1687530065489,3.86161067944781,4.40452880208039,3.69054237750256,2.9729689632451,3.55845327498614,3.1965715426468,3.1421574990272,3.13277023685886,3.21464780051226,3.07642419895883,3.48520183972851,3.25959198378458,3.54541253742468,3.63773314827949,3.01284020944728,3.24075818210585,3.97642580845692,4.48064148449719,3.68863913903225,3.07415957830287,3.97504466073828,3.79606191613591,3.47731852803588,3.87672459901843,3.00490888121353,3.39097361496363,3.25048747921219,3.24456488945534,3.24125658008519,2.9860902824761,2.9073006290695,"CCDC27","coiled-coil domain containing 27",3.43266661383818,3.45899608947366,3.40656458868476
"5793","TC0100006781.hg.1",4.82577718221301,5.23325821263721,4.60930036996996,5.0543685481879,4.82577718221301,5.23553776088322,4.25644924663933,5.10194610898569,5.08814790306821,5.58986593380237,5.63188423616507,4.58151825782647,4.2248251415401,4.47677243890629,4.65594636351553,4.39773321773488,4.96223624751236,4.48883807716613,4.88564511768431,4.29846331673328,4.74970336723557,4.80405257593995,4.97408050931494,5.62638520422932,4.14357685717283,5.09011275144348,5.07396665627734,4.10174166208129,4.53530330744758,4.53064563785102,4.97823706754499,5.19143516484688,4.77227987867253,4.92860595238923,5.65442680306633,4.98162293876309,5.01356870173224,4.62677304217105,5.01140045706206,4.54810964026554,5.46894526834166,4.44714091142071,4.54228485728265,4.24986148889029,4.73345498258614,5.04264625931638,4.92827876741415,"SLC25A33","solute carrier family 25 member 33",4.98204284485999,4.8694287677565,4.72119922662772
"5848","TC0100006997.hg.1",6.83254581286518,6.66345287451891,6.86186130114719,6.50404887408495,6.832646191051,7.11105775441759,7.16689774854787,6.57668916935596,6.9514152348185,6.52604827304884,6.83467960943929,6.77640112712905,7.0780416010009,6.87036474475763,6.82295143719765,6.98980610505427,6.93516360062103,7.1319499821925,6.92322584325255,6.76150995273821,6.72192287076587,7.14106812327756,6.53086920164782,6.71728450055341,6.93978761841128,6.14639704785318,6.51609918906938,6.16089101424166,6.07702444735628,6.42120098050284,6.24529930424861,6.71497373514148,6.67831583913438,6.83825589482603,6.57196593818442,6.47210487717809,5.81370689074725,6.4208182813052,6.73449979783128,6.15588703592731,6.55349546057307,6.52794138510182,6.49915666066473,6.77412102471234,6.59057080876903,6.70002018195745,6.23149270249383,"SLC25A34","solute carrier family 25 member 34",6.8026663233856,6.49687926662773,6.74081252718734
"5865","TC0100007144.hg.1",3.57108925245343,3.38705589840496,2.8736607502846,2.91960506724765,3.57108925245343,2.74690494209588,3.64830429301384,4.35329427792613,3.05877960399428,2.84518663218702,2.73573882634471,3.97939898360077,3.88013722966606,4.07804180421844,3.22195460199546,3.68131861507068,3.83227014875415,3.36326831476262,3.11277700528159,3.15908500299347,3.39933583955342,3.22462413092277,3.09618516807567,3.15304121693263,3.32419545006071,2.86184771394712,2.78933014538182,3.59790415334357,3.90965315867176,3.53281211097779,3.02883772618353,2.8722378516664,3.82536471614754,4.15152309195175,3.45039107428704,3.07860412634549,4.00176420300215,4.43906824250968,3.15223920150526,2.95597187063151,3.28657200670381,3.12858323339388,3.82388101314309,2.45908832644009,3.2418364121433,2.72154643738633,2.94422805160213,"KLHDC7A","kelch domain containing 7A",3.29749699700612,3.33858609422338,3.38947934260934
"5868","TC0100007162.hg.1",6.74004069824504,6.26950726572313,6.46735668096526,6.67864329854971,6.74004069824504,6.33854090707942,6.60686475505951,6.25246653475588,6.80467432484128,6.52313010568785,6.42855359857648,6.528896927031,6.47001003388855,6.38328605370888,6.59224643339059,6.41143104267388,6.72399106236045,6.55274710023514,6.04831577753969,6.47909762023854,6.51970414911493,6.93431460665421,6.34426766381827,6.56949944408218,6.61736913162615,6.13604525898788,6.19522990208037,6.52972136015279,6.44943924903362,6.59336427822401,6.118527859353,6.67744652597694,6.6015604664665,6.88626081488254,6.56958923126594,6.22921636559976,7.11204730299489,6.82906364882947,6.69306824181627,6.34419599233653,6.08390632398332,6.57168589952379,6.46658204201587,6.52843417637342,6.38623047919578,6.56893250870781,6.25303030239381,"SLC66A1","solute carrier family 66 member 1",6.54212652691521,6.52850791444109,6.46916665343124
"5888","TC0100007290.hg.1",5.92984046893728,6.29856190656163,4.90630585701149,5.48858696629645,5.92984046893728,5.8346033435553,5.71638348088095,6.13454146755098,5.73091402088763,5.69058851336929,5.64220550692789,5.70655909523188,5.79695786282673,5.72061545213033,6.27464500764546,5.41328008577511,6.31384141099397,6.03340369827481,6.12037855986717,5.50769227029814,5.91758192569264,5.87434741442339,5.7722395170288,5.16925957457265,6.11350287788647,5.54025482586447,5.4515847842003,5.6140215040393,5.29085507952813,5.43010517066325,5.26712174560493,5.23309792647255,5.52599483440005,5.70060142448966,5.71392520483622,4.99006832891303,5.95048145114778,5.13538617699903,5.50956311543162,5.22829693880673,5.14559686623874,5.5568235726168,5.35464096295375,5.49877013603663,5.55841179467042,5.71793885299729,5.43067029744861,"C1QA","complement C1q A chain",5.76601664939883,5.44152748892928,5.75122244490567
"5889","TC0100007291.hg.1",6.41537004882541,6.90440489160808,6.33153114413332,6.48198564687824,6.41537004882541,6.21385524254533,6.33966582843571,7.29339086045351,6.85977808856691,6.53102320867005,6.57625462460022,6.34810720892196,6.37799193320591,5.92794631974354,7.15123953163373,6.83829202629099,7.64103955371818,6.72813044315577,6.43722112031747,5.81735815799486,6.35334346076189,6.33430672369149,6.32240422613381,6.58268107719389,6.33392470061281,6.04512367240538,7.28743108532871,5.69352068479574,5.91123515091124,6.20365765596404,6.19927640178538,5.40395299645407,5.97352301668252,6.3503259125104,5.64590297623632,5.16626945103238,5.96994309460664,6.70190331950833,5.91195114238308,5.54655828669942,5.40496391419196,6.2841433391889,5.7073127945088,5.90951178293032,6.06529229860692,6.21694206022889,6.10747622893482,"C1QC","complement C1q C chain",6.5786375008942,5.9316059262474,6.45829219481145
"5890","TC0100007292.hg.1",5.3869086647347,6.36490826112533,5.74743602143344,5.43448345764666,5.3869086647347,5.18237617024174,5.15669246542288,6.55858755955915,5.87933275825375,5.65167142601948,5.47460050907872,5.26915882119444,5.52818635611003,5.05021453920507,6.16814636907801,6.40884551489626,6.38934818618496,5.71416815358339,5.76629902602938,5.54794099162486,6.02863754928615,5.27772491844504,5.39812753535972,5.61426782421986,5.8852189566247,4.97485490432385,5.69554740152902,4.89721857286462,5.5234271686039,5.27022235276403,5.34259491086453,5.56420644996938,5.61360211772556,5.33101807450721,5.27083547821015,4.87628182314154,5.58985572419379,5.24947647969058,5.19763122210691,5.08691397280292,5.05006430105347,5.61679350558815,5.20782045238828,5.55253787039644,5.6455414211798,4.98594644082185,5.54740328950151,"C1QB","complement C1q B chain",5.67493054491718,5.33326366038367,5.611154384118
"5900","TC0100007344.hg.1",8.12467077715411,8.02509432152095,8.77855258446808,7.89147577660256,8.12467077715411,8.171262315378,7.60246008522655,8.10221399631233,8.09288040091029,8.4375144502395,8.50896820493049,7.47171593144063,7.13558004608204,7.5221494060399,7.42512476826865,7.39902333609207,7.23603161142751,7.12571147305879,7.52718393080572,7.60231103565198,7.6452954389981,7.82355392457914,8.02524496307262,8.92536357068065,7.49407284586502,8.22449653357717,7.52686409887026,7.64748415677703,7.74056306773254,7.62315688411389,7.63712788655033,7.78671306671814,7.90441409633408,7.13804398512805,7.4168623152571,8.42509743656708,6.92618302935343,7.11853017564513,6.98573360517597,8.11492505250971,7.39237992386532,7.49422785180775,7.50018786901008,7.57684617880458,7.37012475762699,7.71229331302125,7.79212200719935,"PNRC2","proline rich nuclear receptor coactivator 2",8.13507954849665,7.55083163526046,7.68456517599738
"5959","TC0100007638.hg.1",5.16570308369676,5.14628085224039,5.02207553246265,5.54194574972455,5.1663409801396,6.0384998785753,4.29641066783051,4.53207439111318,4.50835964931426,5.36244986656725,4.42320420928923,5.70690175016776,5.14335449782445,4.68817888310341,4.8858679587383,5.60149486467089,4.58618948547676,5.22530066374647,5.03767273449609,5.31144171795043,5.29651446844769,4.94786384696801,4.98983705052292,5.30533979508784,5.43704965366941,4.93325177031528,5.0631337299084,4.75037444545741,5.19835986508678,5.58531950008014,4.85224308000203,4.98894592935057,4.69203995474072,5.08203458595391,5.2235947208048,4.64768230016739,5.7987785501954,5.45356357681893,5.6139029781022,4.76596481471072,4.95545938597106,6.33619131323666,5.72635682780726,4.97814603425067,5.44639704801474,5.53704798871797,5.3583024183991,"SERINC2","serine incorporator 2",5.07801406516645,5.2801095004069,5.08059638899619
