"","PROBEID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC1400008940.hg.1","TC1400008940.hg.1","NFKBIA","NFKB inhibitor alpha",3.76456548371025,9.55878174632105,26.3779008551412,4.126853350441e-24,8.11628248431231e-20,44.2002526757692
"TC0100011453.hg.1","TC0100011453.hg.1","G0S2","G0/G1 switch 2",4.80669361632037,7.25530591424028,24.9509481142548,2.46785642992372e-23,2.42676662036549e-19,42.5679544951706
"TC0600009597.hg.1","TC0600009597.hg.1","TNFAIP3","TNF alpha induced protein 3",3.61536031475031,9.19942087146933,24.0127236041731,8.41625080430309e-23,5.51741348560763e-19,41.437540936442
"TC0700007480.hg.1","TC0700007480.hg.1",NA,NA,4.52212643883219,5.63690654231763,22.3691442281347,8.03223382968748e-22,3.94924856821159e-18,39.338079836711
"TC0400007836.hg.1","TC0400007836.hg.1","CXCL8","C-X-C motif chemokine ligand 8",5.65934389140604,7.08245369725697,22.006635375981,1.34721443072626e-21,5.29913324181869e-18,38.8532218048711
"TC0800008801.hg.1","TC0800008801.hg.1","TRIB1","tribbles pseudokinase 1",2.53545775046942,8.25053564797954,19.7915327264905,3.76644152763983e-20,1.23457675873488e-16,35.701990334439
"TC1000007990.hg.1","TC1000007990.hg.1","DDIT4","DNA damage inducible transcript 4",2.68608259219421,6.65240598127201,18.9989274442727,1.34018599839894e-19,3.76534829007314e-16,34.4892227735384
"23075672","23075672",NA,NA,2.78467969156245,6.21701788579701,18.0246947366905,6.78560169383708e-19,1.11210357093912e-15,32.9309245142414
"23075844","23075844",NA,NA,2.78467969156245,6.21701788579701,18.0246947366905,6.78560169383708e-19,1.11210357093912e-15,32.9309245142414
"23075993","23075993",NA,NA,2.78467969156245,6.21701788579701,18.0246947366905,6.78560169383708e-19,1.11210357093912e-15,32.9309245142414
"23076303","23076303",NA,NA,2.78467969156245,6.21701788579701,18.0246947366905,6.78560169383708e-19,1.11210357093912e-15,32.9309245142414
"23076462","23076462",NA,NA,2.78467969156245,6.21701788579701,18.0246947366905,6.78560169383708e-19,1.11210357093912e-15,32.9309245142414
"TC0100008152.hg.1","TC0100008152.hg.1","UQCRH","ubiquinol-cytochrome c reductase hinge protein",2.02388345993629,4.61907787509539,17.7885053542637,1.01640448941665e-18,1.53766362256595e-15,32.5413461039194
"TC1200009580.hg.1","TC1200009580.hg.1","FBXL14","F-box and leucine rich repeat protein 14",-1.85741443617714,7.24898557515879,-17.5640000662345,1.49840487787053e-18,2.10493776664855e-15,32.166622436272
